,online_order,book_table,Ratings,Votes,Rest_Type,dish_liked,Cuisines,Cost_of_2_people,Type,City
3810,1,0,3.3,294,62,1094,1061,400.0,2,4
3811,1,0,4.3,166,29,1880,1163,400.0,2,4
3812,1,0,4.4,278,29,27,1347,400.0,2,4
3813,1,0,3.8,230,62,2296,198,300.0,2,4
3817,1,0,3.9,782,62,3450,1203,300.0,2,4
3818,1,0,2.9,248,62,2608,1203,400.0,2,4
3819,1,0,3.8,62,62,473,323,500.0,2,4
3821,1,0,4.0,532,62,2634,1203,300.0,2,4
3822,1,0,4.5,141,30,5148,778,400.0,2,4
3823,1,0,3.8,68,62,4522,228,200.0,2,4
3825,1,1,4.0,533,20,2574,1163,600.0,2,4
3826,1,0,4.2,258,20,3486,1461,700.0,2,4
3827,1,0,4.2,3334,20,51,305,600.0,2,4
3828,1,0,3.9,1233,20,1373,1295,500.0,2,4
3829,1,1,3.8,188,20,4696,98,800.0,2,4
3830,1,0,3.8,419,20,3397,239,900.0,2,4
3831,1,0,3.8,2084,20,1204,1409,750.0,2,4
3833,1,0,3.7,833,20,2412,287,550.0,2,4
3835,1,0,4.0,152,69,2485,1128,400.0,2,4
3836,1,0,3.8,87,62,2974,1242,400.0,2,4
3838,1,0,2.9,666,20,4680,117,800.0,2,4
3839,1,0,3.9,105,30,458,965,400.0,2,4
3841,1,0,3.9,214,62,2399,236,400.0,2,4
3842,1,0,4.0,77,62,2056,1599,300.0,2,4
3843,1,0,3.8,132,62,4210,303,300.0,2,4
3847,1,0,4.2,567,20,3831,1307,550.0,2,4
3848,1,0,4.1,164,72,1269,1475,600.0,2,4
3849,1,0,4.0,316,12,2254,1662,250.0,2,4
3850,1,1,4.4,3738,22,131,1478,600.0,2,4
3851,1,0,3.9,343,62,4309,1163,300.0,2,4
3852,1,0,3.8,62,20,4652,1599,400.0,2,4
3854,1,0,4.1,87,29,1419,1163,300.0,2,4
3855,1,0,3.8,44,29,1035,283,600.0,2,4
3856,1,0,4.0,894,20,5114,267,750.0,2,4
3860,1,0,3.8,832,29,3364,272,650.0,2,4
3861,1,1,4.0,903,20,1010,45,750.0,2,4
3863,1,0,3.2,380,62,4148,323,450.0,2,4
3864,1,0,3.8,798,29,1201,1437,450.0,2,4
3865,1,0,3.4,692,20,4663,1533,600.0,2,4
3866,1,0,3.8,135,20,4045,1599,400.0,2,4
3868,1,0,4.0,230,20,776,1163,950.0,2,4
3869,1,0,3.5,79,62,1334,560,400.0,2,4
3870,1,0,4.0,357,29,149,236,650.0,2,4
3872,1,0,4.1,152,29,3497,1163,400.0,2,4
3873,1,0,3.9,75,2,1309,181,500.0,2,4
3874,1,0,3.9,94,62,164,1039,200.0,2,4
3876,1,0,3.3,200,62,21,1389,450.0,2,4
3877,1,0,2.8,188,20,3377,1203,400.0,2,4
3879,1,0,3.1,226,20,252,1601,500.0,2,4
3880,1,0,2.8,105,62,2178,1484,600.0,2,4
3881,1,1,3.7,194,20,2540,1163,800.0,2,4
3883,1,0,3.5,378,62,2615,1254,500.0,2,4
3890,1,0,3.9,432,29,4098,1188,450.0,2,4
3891,1,0,3.7,63,29,260,1203,300.0,2,4
3893,1,1,3.9,225,20,115,1189,800.0,2,4
3895,1,0,4.3,220,29,4462,28,600.0,2,4
3898,1,0,4.1,88,29,2561,1119,600.0,2,4
3899,1,0,4.0,444,20,1952,1163,1200.0,2,4
3900,1,0,2.9,827,20,2499,113,800.0,2,4
3902,1,0,4.1,193,62,4234,1197,500.0,2,4
3903,1,0,4.2,233,62,4872,221,150.0,2,4
3904,1,0,3.7,404,20,1632,1607,500.0,2,4
3906,1,0,4.6,1193,5,1522,32,1500.0,2,4
3907,1,1,4.4,4099,21,4589,1537,1400.0,2,4
3908,1,0,3.9,78,62,2158,84,300.0,2,4
3909,1,1,3.8,571,20,5062,1190,600.0,2,4
3910,1,0,3.5,116,20,1164,58,600.0,2,4
3911,1,1,4.3,996,20,2847,725,1200.0,2,4
3914,1,0,4.3,490,2,444,185,500.0,2,4
3915,1,0,2.3,235,20,3367,1163,800.0,2,4
3916,1,0,3.6,48,29,1077,42,400.0,2,4
3919,1,0,4.0,717,20,118,947,800.0,2,4
3920,1,1,4.3,994,20,442,130,1300.0,2,4
3921,1,1,4.9,16345,52,1487,744,1600.0,2,4
3924,1,1,4.5,125,20,2855,1087,700.0,2,4
3925,1,1,4.5,1365,21,4016,40,1800.0,2,4
3927,1,0,4.3,754,20,1825,1504,500.0,2,4
3932,1,0,3.5,178,62,922,1648,300.0,2,4
3934,1,0,3.5,234,62,1742,1610,400.0,2,4
3940,1,0,4.0,107,13,4413,451,400.0,2,4
3943,1,0,4.1,103,62,330,1342,800.0,2,4
3945,1,1,4.4,1209,21,3092,1163,1100.0,2,4
3946,1,0,4.0,167,62,603,822,400.0,2,4
3947,1,1,3.8,157,20,5065,528,600.0,2,4
3949,1,0,3.7,309,20,1092,198,600.0,2,4
3950,1,1,4.4,1381,54,4430,900,1500.0,2,4
3951,1,0,3.9,667,20,4646,293,800.0,2,4
3953,1,0,4.1,433,13,1770,395,750.0,2,4
3956,1,0,3.9,70,29,4165,924,600.0,2,4
3957,1,0,3.8,77,62,4951,1470,350.0,2,4
3960,1,0,4.0,175,2,1877,181,300.0,2,4
3963,1,0,3.9,370,20,1248,281,550.0,2,4
3964,1,1,4.0,557,20,2822,1203,900.0,2,4
3966,1,0,3.6,42,72,4914,1203,300.0,2,4
3968,1,0,3.1,281,62,1140,1362,400.0,2,4
3970,1,0,4.3,49,62,946,1036,250.0,2,4
3972,1,0,4.1,65,72,2444,1638,100.0,2,4
3973,1,1,4.4,3061,21,793,1357,1500.0,2,4
3974,1,0,3.6,260,62,3799,1484,800.0,2,4
3976,1,0,4.0,60,9,2983,218,600.0,2,4
3979,1,0,3.9,231,29,785,1303,500.0,2,4
3981,1,1,4.2,1142,20,4757,1024,1800.0,2,4
3984,1,0,3.9,715,20,235,983,1000.0,2,4
3985,1,0,3.0,237,29,3939,1475,500.0,2,4
3986,1,0,4.2,45,62,16,1163,250.0,2,4
3988,1,0,3.0,111,62,4272,1511,400.0,2,4
3989,1,0,3.9,396,20,1929,606,850.0,2,4
3991,1,0,3.7,160,20,161,1039,500.0,2,4
3994,1,0,4.3,555,20,752,1131,1800.0,2,4
3996,1,1,3.9,42,62,4912,306,500.0,2,4
3998,1,0,3.4,262,20,1931,1039,450.0,2,4
3999,1,1,4.1,1056,21,3656,998,1200.0,2,4
4000,1,0,3.9,112,62,722,324,600.0,2,4
4001,1,1,4.0,797,13,143,463,700.0,2,4
4009,1,0,2.4,438,20,1191,522,1000.0,2,4
4013,1,0,3.8,210,62,4514,1033,200.0,2,4
4015,1,0,3.6,44,13,3818,418,600.0,2,4
4016,1,0,3.7,33,72,2660,233,400.0,2,4
4019,1,1,4.1,1691,21,3477,1163,1100.0,2,4
4020,1,0,4.3,556,33,496,961,500.0,2,4
4021,1,1,4.1,481,20,1168,63,900.0,2,4
4025,1,0,3.8,34,62,3572,1163,150.0,2,4
4026,1,0,2.9,163,68,3559,1465,250.0,2,4
4028,1,1,4.3,715,20,3657,1008,1500.0,2,4
4029,1,0,4.0,65,69,3444,1128,200.0,2,4
4030,1,0,4.2,166,62,4943,1203,450.0,2,4
4031,1,1,4.0,547,20,769,1382,1000.0,2,4
4032,1,0,3.0,139,20,4141,1431,450.0,2,4
4036,1,0,4.3,787,20,4766,168,1000.0,2,4
4038,1,0,4.0,55,62,3871,980,500.0,2,4
4039,1,0,3.700448817952718,0,72,4725,1216,300.0,2,4
4041,1,0,4.0,250,62,4100,1163,250.0,2,4
4044,1,0,3.2,204,20,2697,1192,500.0,2,4
4046,1,0,2.9,361,20,750,1204,450.0,2,4
4052,1,1,3.9,661,20,4911,1239,750.0,2,4
4053,1,0,4.1,268,20,4699,529,800.0,2,4
4055,1,0,4.0,200,29,1363,1475,750.0,2,4
4057,1,0,3.9,228,30,4707,794,500.0,2,4
4061,1,1,4.4,889,20,3177,1071,1400.0,2,4
4063,1,0,4.0,74,17,5153,434,600.0,2,4
4065,1,0,2.6,155,20,3071,1391,600.0,2,4
4066,1,0,4.0,44,62,2664,1463,300.0,2,4
4068,1,0,3.2,258,62,561,323,500.0,2,4
4069,1,0,3.8,133,62,4225,822,200.0,2,4
4070,1,0,2.8,95,20,1948,1394,500.0,2,4
4072,1,0,3.7,48,62,3573,1163,400.0,2,4
4073,1,0,3.2,97,62,5026,1583,250.0,2,4
4074,1,0,3.7,44,30,972,778,900.0,2,4
4075,1,1,4.0,341,13,563,375,1000.0,2,4
4076,1,0,3.3,84,62,2842,1638,200.0,2,4
4078,1,0,3.6,109,20,937,1152,700.0,2,4
4080,1,0,4.0,162,62,3795,85,500.0,2,4
4081,1,1,4.4,1146,60,1519,1235,1200.0,2,4
4083,1,0,4.4,536,29,1793,774,600.0,2,4
4084,1,0,4.1,39,62,2541,1650,200.0,2,4
4085,0,0,4.0,213,20,4313,567,400.0,2,4
4087,1,1,4.2,1383,21,5236,746,1100.0,2,4
4090,1,0,2.9,89,62,934,878,350.0,2,4
4092,1,0,3.7,182,62,3415,1454,400.0,2,4
4093,1,0,4.1,129,30,244,778,350.0,2,4
4094,0,0,4.0,246,20,2546,1163,1200.0,2,4
4095,1,0,3.7,34,29,2283,1203,450.0,2,4
4098,1,0,3.2,44,62,3658,1486,600.0,2,4
4099,1,0,3.8,376,29,2567,1163,600.0,2,4
4102,1,1,3.9,392,4,1085,283,1500.0,2,4
4108,1,1,4.2,340,20,2511,170,1700.0,2,4
4113,1,0,3.8,54,62,1867,1393,400.0,2,4
4114,1,0,3.6,26,62,3479,1203,250.0,2,4
4115,1,0,3.2,127,62,1868,1163,400.0,2,4
4116,1,0,3.6,136,3,3586,193,600.0,2,4
4119,1,1,4.1,322,26,1534,3,1200.0,2,4
4120,1,0,4.1,248,20,3209,617,800.0,2,4
4121,1,1,4.4,2182,5,1985,1234,1400.0,2,4
4122,1,0,3.0,137,71,1279,1348,650.0,2,4
4123,1,0,4.3,324,30,2303,962,180.0,2,4
4124,1,0,4.0,119,12,4492,218,400.0,2,4
4125,1,0,3.8,1972,20,3019,50,650.0,2,4
4127,1,0,4.0,57,30,953,962,300.0,2,4
4128,1,0,2.9,243,62,1124,1275,300.0,2,4
4129,1,0,3.7,48,45,736,1506,400.0,2,4
4131,1,1,4.2,7193,56,4596,707,1400.0,2,4
4136,1,0,3.7,39,62,473,968,200.0,2,4
4137,1,0,3.8,72,45,440,962,300.0,2,4
4138,1,0,2.9,182,20,2065,1168,800.0,2,4
4140,1,0,3.9,222,20,1043,287,800.0,2,4
4141,1,0,3.8,116,72,2851,1076,150.0,2,4
4142,1,0,4.2,793,26,191,805,1700.0,2,4
4143,1,0,3.0,289,20,3687,1486,500.0,2,4
4145,1,0,3.9,337,62,2661,1203,500.0,2,4
4146,1,1,4.1,3020,20,2006,1405,1000.0,2,4
4154,1,0,3.8,81,0,3607,181,300.0,2,4
4155,1,0,4.0,136,13,5156,333,500.0,2,4
4163,1,1,4.0,387,16,3671,422,1300.0,2,4
4165,1,1,4.0,942,57,2673,671,1300.0,2,4
4166,1,0,3.7,132,20,1089,1163,750.0,2,4
4171,0,0,3.8,368,20,4567,1417,600.0,2,4
4185,0,0,4.1,83,30,408,962,200.0,2,4
4194,1,0,3.8,174,62,1099,1485,400.0,2,4
4195,1,0,4.3,269,0,2161,184,750.0,2,4
4197,1,0,3.8,46,20,4593,1550,600.0,2,4
4201,1,0,3.8,91,20,2140,1279,750.0,2,4
4202,1,0,3.8,60,62,3425,108,400.0,2,4
4203,1,0,3.2,135,62,4192,259,400.0,2,4
4209,1,0,3.6,484,16,1700,477,700.0,2,4
4210,1,0,4.3,894,13,5187,465,600.0,2,4
4213,1,0,4.0,600,20,3583,124,800.0,2,4
4217,1,1,3.7,37,20,4390,591,1500.0,2,4
4218,1,0,3.0,106,20,361,1203,500.0,2,4
4226,0,0,2.7,39,41,4146,1121,330.0,2,4
4227,1,0,3.2,61,62,3550,1334,250.0,2,4
4230,1,0,3.1,117,20,3542,1203,550.0,2,4
4231,0,0,3.7,128,3,3695,191,600.0,2,4
4236,1,0,3.9,1240,21,1595,1108,1400.0,2,4
4238,1,0,4.3,149,13,3971,474,800.0,2,4
4242,0,0,3.6,336,20,1017,1192,600.0,2,4
4250,0,0,2.3,131,20,2828,80,800.0,2,4
4252,1,0,3.7,66,20,3319,1192,550.0,2,4
4255,1,0,3.8,106,71,3802,1557,200.0,2,4
4256,0,0,2.8,43,62,1024,283,500.0,2,4
4257,0,0,3.5,95,20,3630,558,700.0,2,4
4259,1,0,3.7,94,13,1224,361,700.0,2,4
4264,1,0,3.6,76,72,1037,83,300.0,2,4
4269,1,0,3.8,138,30,2865,794,500.0,2,4
4270,1,0,3.7,500,29,780,1431,500.0,2,4
4276,1,0,3.5,356,29,1926,1203,500.0,2,4
4287,0,0,2.1,337,20,2529,1163,450.0,2,4
4301,1,0,3.9,36,29,1817,1163,400.0,2,4
4302,1,0,4.2,500,13,1694,412,800.0,2,4
4320,1,0,3.5,435,29,3128,1437,500.0,2,4
4326,0,0,3.0,155,20,3322,1188,800.0,2,4
4328,0,0,2.8,116,41,4202,208,400.0,2,4
4345,0,0,3.2,59,20,354,1430,550.0,2,4
4347,0,0,3.8,114,13,3655,435,550.0,2,4
4350,0,0,3.8,63,29,977,861,150.0,2,4
4353,1,0,3.6,151,29,3591,1010,450.0,2,4
4360,1,0,4.0,353,29,438,1216,500.0,2,4
4365,1,0,3.1,100,13,1689,466,650.0,2,4
4370,0,0,3.9,177,30,1788,774,300.0,2,4
4387,1,1,3.9,218,20,2237,1421,750.0,2,4
4390,0,1,4.3,1585,54,134,691,1500.0,2,4
4391,1,0,4.1,111,30,1797,774,600.0,2,4
4392,1,0,3.8,80,62,1394,1163,300.0,2,4
4396,1,0,3.7,122,62,3548,1292,300.0,2,4
4397,1,0,4.0,92,30,829,955,100.0,2,4
4401,1,0,3.7,40,62,855,1642,150.0,2,4
4402,0,0,4.2,267,70,1384,1128,400.0,2,4
4403,0,1,4.0,119,20,3782,1203,1000.0,2,4
4404,0,0,3.8,111,20,2646,1203,600.0,2,4
4405,0,0,3.0,197,20,3716,1203,700.0,2,4
4412,0,0,3.5,68,62,4566,1163,250.0,2,4
4434,0,0,2.9,108,20,984,64,800.0,2,4
4437,0,0,3.5,132,62,4293,873,300.0,2,4
4449,1,0,3.8,117,72,3650,633,600.0,2,4
4468,1,0,4.3,490,2,444,185,500.0,3,4
4469,1,0,4.0,175,2,1877,181,300.0,3,4
4471,1,0,4.0,152,69,2485,1128,400.0,3,4
4472,1,0,4.4,632,29,470,936,500.0,3,4
4473,0,0,4.1,83,30,408,962,200.0,3,4
4474,1,0,3.9,1233,20,1373,1295,500.0,3,4
4478,1,0,4.2,213,30,4559,965,400.0,3,4
4480,1,0,2.9,163,68,3559,1465,250.0,3,4
4481,1,0,3.6,136,3,3586,193,600.0,3,4
4482,1,0,3.9,75,2,1309,181,500.0,3,4
4484,1,0,4.1,111,30,1797,774,600.0,3,4
4488,0,0,3.7,128,3,3695,191,600.0,3,4
4489,1,0,3.7,44,30,972,778,900.0,3,4
4496,1,0,3.8,72,45,440,962,300.0,3,4
4499,1,0,4.0,74,17,5153,434,600.0,3,4
4515,1,0,4.3,556,33,496,961,500.0,3,4
4516,0,0,4.2,267,70,1384,1128,400.0,3,4
4517,1,0,4.3,269,0,2161,184,750.0,3,4
4518,0,0,4.3,384,30,2726,962,150.0,3,4
4522,1,0,3.7,94,13,1224,361,700.0,3,4
4525,1,0,3.8,81,0,3607,181,300.0,3,4
4527,0,0,3.9,177,30,1788,774,300.0,3,4
4538,0,0,3.9,75,30,973,962,350.0,3,4
4545,1,0,3.9,93,0,4144,181,500.0,3,4
4548,0,1,4.2,271,20,3627,155,2000.0,4,4
4549,0,1,3.9,284,20,4887,1449,1500.0,4,4
4550,1,1,4.1,1691,21,3477,1163,1100.0,4,4
4551,1,1,4.1,3020,20,2006,1405,1000.0,4,4
4552,1,0,4.3,555,20,752,1131,1800.0,4,4
4553,1,0,4.2,793,26,191,805,1700.0,4,4
4554,1,1,4.5,1365,21,4016,40,1800.0,4,4
4555,1,1,4.4,2182,5,1985,1234,1400.0,4,4
4556,1,0,4.0,894,20,5114,267,750.0,4,4
4557,1,1,4.3,996,20,2847,725,1200.0,4,4
4558,0,0,4.2,308,20,2603,1163,800.0,4,4
4559,0,1,4.3,403,20,1216,1304,1800.0,4,4
4560,1,0,4.0,444,20,1952,1163,1200.0,4,4
4561,1,0,4.0,230,20,776,1163,950.0,4,4
4562,1,0,4.0,60,9,2983,218,600.0,4,4
4563,0,0,4.0,213,20,4313,567,400.0,4,4
4564,0,0,4.0,225,20,2576,1163,700.0,4,4
4565,1,0,3.4,692,20,4663,1533,600.0,4,4
4566,1,0,3.8,2084,20,1204,1409,750.0,4,4
4567,1,1,3.9,392,4,1085,283,1500.0,4,4
4569,1,0,3.7,404,20,1632,1607,500.0,4,4
4570,0,1,3.6,255,46,1090,1404,1500.0,4,4
4571,0,0,4.0,246,20,2546,1163,1200.0,4,4
4572,1,0,4.0,152,69,2485,1128,400.0,4,4
4574,0,0,3.8,368,20,4567,1417,600.0,4,4
4575,1,0,3.8,419,20,3397,239,900.0,4,4
4576,1,0,4.0,107,13,4413,451,400.0,4,4
4577,1,0,4.1,268,20,4699,529,800.0,4,4
4578,1,0,3.0,289,20,3687,1486,500.0,4,4
4580,1,0,3.9,146,20,4821,1193,650.0,4,4
4581,1,0,3.9,1233,20,1373,1295,500.0,4,4
4582,1,1,3.7,37,20,4390,591,1500.0,4,4
4583,1,0,2.9,182,20,2065,1168,800.0,4,4
4585,0,1,4.1,106,21,1551,1111,1600.0,4,4
4586,0,1,4.2,707,27,1517,1203,1400.0,4,4
4587,1,1,3.8,157,20,5065,528,600.0,4,4
4589,1,0,3.0,106,20,361,1203,500.0,4,4
4590,1,0,2.6,74,20,4688,117,800.0,4,4
4594,1,0,3.7,66,20,3319,1192,550.0,4,4
4601,1,0,2.8,95,20,1948,1394,500.0,4,4
4602,0,0,3.0,120,20,4395,1352,1000.0,4,4
4604,1,0,3.2,127,62,1868,1163,400.0,4,4
4609,0,0,3.6,336,20,1017,1192,600.0,4,4
4616,0,0,2.3,131,20,2828,80,800.0,4,4
4618,1,0,3.1,48,13,2366,437,900.0,4,4
4619,0,0,3.5,95,20,3630,558,700.0,4,4
4632,1,0,3.7,48,45,736,1506,400.0,4,4
4633,0,0,3.7,47,13,1697,333,500.0,4,4
4640,0,0,2.1,337,20,2529,1163,450.0,4,4
4650,0,0,3.0,155,20,3322,1188,800.0,4,4
4655,0,0,3.2,59,20,354,1430,550.0,4,4
4656,0,0,3.8,114,13,3655,435,550.0,4,4
4657,0,0,3.6,542,20,3800,1484,750.0,4,4
4658,0,0,3.8,46,49,1423,904,2000.0,4,4
4660,0,0,2.6,270,20,4324,1203,400.0,4,4
4661,1,0,3.9,370,20,1248,281,550.0,4,4
4664,1,1,4.0,341,13,563,375,1000.0,4,4
4665,1,0,2.3,235,20,3367,1163,800.0,4,4
4668,1,0,4.2,166,62,4943,1203,450.0,4,4
4670,1,0,4.0,77,62,2056,1599,300.0,4,4
4671,1,0,3.5,378,62,2615,1254,500.0,4,4
4672,1,0,4.0,532,62,2634,1203,300.0,4,4
4673,1,0,3.9,214,62,2399,236,400.0,4,4
4680,1,0,2.9,163,68,3559,1465,250.0,4,4
4682,1,0,3.9,75,2,1309,181,500.0,4,4
4683,1,0,3.6,136,3,3586,193,600.0,4,4
4684,1,0,3.8,80,62,1394,1163,300.0,4,4
4685,1,0,2.9,248,62,2608,1203,400.0,4,4
4686,1,0,3.9,94,62,164,1039,200.0,4,4
4688,1,0,3.2,258,62,561,323,500.0,4,4
4692,1,0,3.3,200,62,21,1389,450.0,4,4
4695,1,0,4.0,250,62,4100,1163,250.0,4,4
4697,1,0,2.9,89,62,934,878,350.0,4,4
4698,1,0,3.8,133,62,4225,822,200.0,4,4
4701,0,0,2.7,39,41,4146,1121,330.0,4,4
4705,1,0,3.3,84,62,2842,1638,200.0,4,4
4707,1,0,3.7,48,62,3573,1163,400.0,4,4
4708,0,0,3.7,128,3,3695,191,600.0,4,4
4713,1,0,4.3,49,62,946,1036,250.0,4,4
4715,1,0,3.8,240,62,4854,1607,200.0,4,4
4723,0,0,2.8,43,62,1024,283,500.0,4,4
4733,1,0,3.7,182,62,3415,1454,400.0,4,4
4734,1,0,3.2,66,62,3798,1484,800.0,4,4
4775,0,0,2.8,116,41,4202,208,400.0,4,4
4795,1,0,2.9,313,62,3135,1203,450.0,4,4
4799,1,0,3.0,111,62,4272,1511,400.0,4,4
4800,0,1,4.8,7023,21,1823,1331,1500.0,4,4
4801,1,1,4.9,16345,52,1487,744,1600.0,4,4
4802,1,1,4.2,7193,56,4596,707,1400.0,4,4
4803,1,1,4.4,4099,21,4589,1537,1400.0,4,4
4804,1,0,4.6,1193,5,1522,32,1500.0,4,4
4805,0,1,4.4,1496,57,308,710,1900.0,4,4
4806,0,1,4.5,3421,20,3781,1401,1300.0,4,4
4807,1,1,4.4,3061,21,793,1357,1500.0,4,4
4808,0,1,4.3,1585,54,134,691,1500.0,4,4
4809,0,1,4.7,881,20,2112,818,1600.0,4,4
4810,0,1,4.6,2726,56,950,1321,1400.0,4,4
4811,1,1,4.3,994,20,442,130,1300.0,4,4
4812,0,0,4.3,1303,20,1102,1310,1000.0,4,4
4813,0,1,4.7,163,5,1592,916,1500.0,4,4
4814,1,1,4.4,889,20,3177,1071,1400.0,4,4
4815,0,0,3.9,1225,20,3090,1370,1100.0,4,4
4816,1,1,4.3,715,20,3657,1008,1500.0,4,4
4817,1,1,4.0,942,57,2673,671,1300.0,4,4
4818,0,1,4.2,505,37,2882,1632,2000.0,4,4
4819,0,1,4.1,237,37,5225,769,2000.0,4,4
4820,0,1,4.3,760,37,422,745,2500.0,4,4
4821,1,0,4.3,894,13,5187,465,600.0,4,4
4822,1,1,4.5,125,20,2855,1087,700.0,4,4
4823,1,0,4.2,258,20,3486,1461,700.0,4,4
4824,1,0,4.3,149,13,3971,474,800.0,4,4
4825,1,0,4.3,754,20,1825,1504,500.0,4,4
4826,0,0,4.1,239,62,919,1329,500.0,4,4
4827,1,0,3.5,341,20,3242,606,850.0,4,4
4828,1,0,2.9,827,20,2499,113,800.0,4,4
4829,1,1,4.1,322,26,1534,3,1200.0,4,4
4830,1,1,4.1,481,20,1168,63,900.0,4,4
4831,1,1,3.7,194,20,2540,1163,800.0,4,4
4833,0,1,4.0,119,20,3782,1203,1000.0,4,4
4835,1,0,3.7,833,20,2412,287,550.0,4,4
4836,1,0,4.1,248,20,3209,617,800.0,4,4
4838,1,0,4.0,44,62,2664,1463,300.0,4,4
4839,1,0,3.7,132,20,1089,1163,750.0,4,4
4840,0,0,2.6,330,20,121,43,600.0,4,4
4843,0,0,3.8,111,20,2646,1203,600.0,4,4
4845,1,0,4.2,233,62,4872,221,150.0,4,4
4846,0,0,3.0,197,20,3716,1203,700.0,4,4
4847,1,0,3.8,135,20,4045,1599,400.0,4,4
4849,1,1,3.9,42,62,4912,306,500.0,4,4
4850,1,0,3.7,94,13,1224,361,700.0,4,4
4853,0,0,4.3,384,30,2726,962,150.0,4,4
4854,1,0,3.3,213,20,3003,1204,600.0,4,4
4857,1,0,2.6,155,20,3071,1391,600.0,4,4
4859,1,0,3.2,97,62,5026,1583,250.0,4,4
4861,0,1,3.9,125,46,1643,811,2500.0,4,4
4866,1,0,3.5,53,62,4689,99,500.0,4,4
4867,1,0,3.2,61,62,3550,1334,250.0,4,4
4868,1,0,2.9,243,62,1124,1275,300.0,4,4
4869,0,0,2.2,187,62,2441,1557,200.0,4,4
4875,0,1,3.9,52,46,1423,771,1900.0,4,4
4879,1,0,3.3,294,62,1094,1061,400.0,4,4
4884,1,0,3.1,117,20,3542,1203,550.0,4,4
4893,0,0,3.5,68,62,4566,1163,250.0,4,4
4897,1,0,3.2,44,62,3658,1486,600.0,4,4
4903,1,0,2.9,317,62,1151,1362,400.0,4,4
4920,1,0,3.2,135,62,4192,259,400.0,4,4
4922,1,0,3.8,54,62,1867,1393,400.0,4,4
4924,1,0,3.2,204,20,2697,1192,500.0,4,4
4925,1,0,3.8,170,62,4305,84,300.0,4,4
4926,0,0,2.9,108,20,984,64,800.0,4,4
4928,0,0,3.5,132,62,4293,873,300.0,4,4
4934,1,1,4.0,942,57,2673,671,1300.0,5,4
4935,0,1,4.1,106,21,1551,1111,1600.0,5,4
4936,1,1,4.4,2182,5,1985,1234,1400.0,5,4
4937,1,1,4.1,3020,20,2006,1405,1000.0,5,4
4938,1,0,4.2,793,26,191,805,1700.0,5,4
4939,1,1,3.9,392,4,1085,283,1500.0,5,4
4940,0,1,3.6,255,46,1090,1404,1500.0,5,4
4941,0,1,4.2,707,27,1517,1203,1400.0,5,4
4943,0,0,3.8,46,49,1423,904,2000.0,5,4
4944,1,1,4.9,16345,52,1487,744,1600.0,5,4
4945,1,1,4.2,7193,56,4596,707,1400.0,5,4
4946,1,0,4.6,1193,5,1522,32,1500.0,5,4
4947,0,1,4.4,1496,57,308,710,1900.0,5,4
4948,1,1,4.4,3061,21,793,1357,1500.0,5,4
4951,1,1,4.1,322,26,1534,3,1200.0,5,4
4953,0,1,3.9,125,46,1643,811,2500.0,5,4
4954,0,1,4.1,106,21,1551,1111,1600.0,6,4
4955,1,1,4.4,2182,5,1985,1234,1400.0,6,4
4956,0,1,4.6,2726,56,950,1321,1400.0,6,4
4957,1,0,4.2,793,26,191,805,1700.0,6,4
4958,1,1,4.5,1365,21,4016,40,1800.0,6,4
4959,1,1,3.9,392,4,1085,283,1500.0,6,4
4960,1,1,4.1,1691,21,3477,1163,1100.0,6,4
4963,0,1,4.8,7023,21,1823,1331,1500.0,6,4
4964,1,1,4.2,7193,56,4596,707,1400.0,6,4
4965,1,1,4.4,4099,21,4589,1537,1400.0,6,4
4966,1,0,4.6,1193,5,1522,32,1500.0,6,4
4967,0,1,4.4,1496,57,308,710,1900.0,6,4
4968,1,1,4.4,3061,21,793,1357,1500.0,6,4
4970,0,1,4.7,163,5,1592,916,1500.0,6,4
4971,1,1,4.1,322,26,1534,3,1200.0,6,4
4973,1,1,4.3,3126,20,77,1424,1500.0,0,5
4974,1,1,3.8,203,20,4827,1265,1200.0,0,5
4975,1,0,4.0,48,20,4772,1025,1500.0,0,5
4976,1,1,4.0,929,20,5087,1501,800.0,0,5
4977,0,0,2.8,130,20,944,1449,650.0,0,5
4978,0,1,3.9,105,20,4397,587,1000.0,0,5
4980,0,1,4.5,2194,20,4385,1109,1800.0,0,5
4981,0,1,4.4,2111,37,3590,1321,2200.0,0,5
4982,1,1,4.0,1909,20,4386,1673,2100.0,0,5
4983,0,0,4.6,979,37,4649,1664,3000.0,0,5
4984,1,1,4.4,1105,21,2093,209,1200.0,0,5
4985,0,1,4.3,148,37,3646,18,2800.0,0,5
4986,1,1,4.5,1394,21,2373,560,1700.0,0,5
4987,1,1,4.3,763,20,4916,1504,1400.0,0,5
4988,0,1,4.4,1065,20,3116,1332,1600.0,0,5
4989,0,1,4.3,678,37,1451,810,2500.0,0,5
4990,1,0,4.0,3209,20,3411,1409,750.0,0,5
4991,0,0,4.3,687,37,419,817,3000.0,0,5
4992,0,1,3.8,64,20,4394,167,1500.0,0,5
4993,0,0,4.1,1022,20,2390,1238,500.0,0,5
4994,0,1,4.2,347,21,447,1382,1000.0,0,5
4995,0,0,4.3,471,25,756,173,1500.0,0,5
4996,0,1,4.3,622,37,3968,1333,3400.0,0,5
4997,0,0,3.9,53,37,2118,143,2000.0,0,5
4998,0,1,4.3,334,20,2107,1286,1200.0,0,5
